hospital_id,name,city,location,specialties,emergency_contact
2001,Bejan Singh Eye Hospital,Kanyakumari,Kanyakumari,"Cardiology, Gastroenterology, Pediatrics, Orthopedics",044-2673383
2002,Apollo Speciality Hospitals,Madurai,Madurai,"Gastroenterology, Pediatrics",044-2653075
2003,St. Anthony's Hospital,Kanyakumari,Kanyakumari,"Orthopedics, General Medicine, Pediatrics, Neurology",044-2401116
2004,MIOT International,Chennai,Chennai,"Gastroenterology, Orthopedics",044-2498274
2005,Fortis Malar Hospital,Chennai,Chennai,"General Medicine, Pediatrics, Orthopedics, Neurology",044-2261015
2006,Sundaram Medical Foundation,Tiruchirappalli,Tiruchirappalli,"Oncology, Cardiology, Neurology, Pediatrics",044-2599233
2007,KG Hospital,Coimbatore,Coimbatore,"Neurology, Pediatrics",044-2203168
2008,Apollo Hospitals Greams Road,Chennai,Chennai,"Oncology, Neurology, Gastroenterology, General Medicine",044-2886696
2009,Pioneer Kumaraswamy Hospital,Kanyakumari,Kanyakumari,"Neurology, Orthopedics, Oncology",044-2691177
2010,Vivekananda Kendra Hospital,Kanyakumari,Kanyakumari,"Oncology, Pediatrics, Gastroenterology",044-2465028
2011,Guru Hospital,Madurai,Madurai,"Orthopedics, Pediatrics, General Medicine",044-2876082
2012,G. Kuppuswamy Naidu Memorial Hospital,Coimbatore,Coimbatore,"Gastroenterology, Oncology",044-2567253
2013,Maruti Hospital,Tiruchirappalli,Tiruchirappalli,"Oncology, Orthopedics",044-2128088
2014,G. Kuppuswamy Naidu Memorial Hospital,Coimbatore,Coimbatore,"Oncology, Gastroenterology, Pediatrics",044-2681385
2015,Kanyakumari Medical Mission,Kanyakumari,Kanyakumari,"Neurology, General Medicine, Oncology",044-2980988
2016,Maruti Hospital,Tiruchirappalli,Tiruchirappalli,"Oncology, General Medicine, Pediatrics",044-2230967
2017,MIOT International,Chennai,Chennai,"General Medicine, Gastroenterology",044-2739153
2018,Sundaram Medical Foundation,Tiruchirappalli,Tiruchirappalli,"General Medicine, Orthopedics, Gastroenterology",044-2314237
2019,KG Hospital,Coimbatore,Coimbatore,"Pediatrics, Neurology, Cardiology",044-2402603
2020,Pioneer Kumaraswamy Hospital,Kanyakumari,Kanyakumari,"Orthopedics, General Medicine",044-2542526
2021,Kovai Medical Center (KMCH),Coimbatore,Coimbatore,"Orthopedics, Cardiology, Gastroenterology, Oncology",044-2526115
2022,KG Hospital,Coimbatore,Coimbatore,"Orthopedics, Cardiology, Gastroenterology, Neurology",044-2931063
2023,Vivekananda Kendra Hospital,Kanyakumari,Kanyakumari,"Orthopedics, Pediatrics, General Medicine",044-2373934
2024,Kauvery Hospital,Chennai,Chennai,"Gastroenterology, General Medicine, Orthopedics",044-2949559
2025,G. Kuppuswamy Naidu Memorial Hospital,Coimbatore,Coimbatore,"Gastroenterology, Neurology, Pediatrics",044-2326243
